rank,title,title_length,detected_language,content_type,is_short,has_hashtags,views,likes
1,Baby Shark Dance | #babyshark Most Viewed Video | Animal Songs | PINKFONG Songs for Children,92,English,Kids/Educational,0,1,16.8B,46.4M
2,Luis Fonsi - Despacito ft. Daddy Yankee,39,English,Music Video,0,0,8.97B,56.0M
3,Wheels on the Bus | @CoComelon Nursery Rhymes & Kids Songs,58,English,Kids/Educational,0,0,8.71B,21.9M
4,Bath Song | @CoComelon Nursery Rhymes & Kids Songs,50,English,Kids/Educational,0,0,7.41B,17.4M
5,Johny Johny Yes Papa 👶 THE BEST Song for Children | Kids Songs | LooLoo Kids,76,English,Kids/Educational,0,0,7.16B,19.3M
6,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,82,English,Music Video,0,0,6.95B,46.3M
7,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children,87,English,Kids/Educational,0,0,6.92B,0
8,Ed Sheeran - Shape of You (Official Music Video),48,English,Music Video,0,0,6.69B,35.4M
9,PSY - GANGNAM STYLE(강남스타일) M/V,30,Korean,Other,0,0,5.89B,31.6M
10,Crazy Frog - Axel F (Official Video),36,English,Music Video,0,0,5.82B,21.3M
11,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,57,English,Music Video,0,0,5.78B,23.2M
12,Учим цвета Разноцветные яйца на ферме Miroshka Tv,49,Russian,Other,0,0,5.43B,14.1M
13,"El Chombo, Dancing Green Alien - Dame Tu Cosita feat. Cutty Ranks (Official Video)",82,English,Music Video,0,0,5.41B,20.4M
14,श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN | 8K,95,Hindi,Other,0,0,5.30B,21.3M
15,Baa Baa Black Sheep | @CoComelon Nursery Rhymes & Kids Songs,60,English,Kids/Educational,0,0,4.77B,10.6M
16,BEST Duo Trick Shots,20,English,Other,0,0,4.70B,28.3M
17,Маша и Медведь (Masha and The Bear) - Маша плюс каша (17 Серия),63,Russian,Other,0,0,4.66B,8.05M
18,लकड़ी की काठी | Lakdi ki kathi | Popular Hindi Children Songs | Animated Songs by JingleToons,92,Hindi,Kids/Educational,0,0,4.57B,15.1M
19,One Two Three | Learn Number | With Slide | Youtube Kids | NuNu Tv Nursery Rhymes #kindergartensong,99,English,Kids/Educational,0,1,4.52B,35.6M
20,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),83,English,Other,0,0,4.48B,24.9M
21,Temu's Big Game Ad Encore TV Commercial 2024,44,English,Ad/Promo,0,0,4.47B,103K
22,हम्प्टी ट्रैन और उसके फल दोस्तों से मिलिए | Humpty the Train on a Fruits Ride | Kiddiestv Hindi,95,Hindi,Other,0,0,4.39B,12.1M
23,OneRepublic - Counting Stars,28,English,Other,0,0,4.38B,19.0M
24,Baby Shark | @CoComelon Nursery Rhymes & Kids Songs,51,English,Kids/Educational,0,0,4.36B,9.61M
25,Maroon 5 - Sugar (Official Music Video),39,English,Music Video,0,0,4.36B,16.9M
26,Katy Perry - Roar,17,English,Other,0,0,4.29B,17.9M
27,Katy Perry - Dark Horse ft. Juicy J,35,English,Music Video,0,0,4.14B,18.8M
28,Ed Sheeran - Perfect (Official Music Video),43,English,Music Video,0,0,4.13B,23.4M
29,Justin Bieber - Sorry (PURPOSE : The Movement),46,English,Other,0,0,4.08B,17.6M
30,Passenger | Let Her Go (Official Video),39,English,Music Video,0,0,4.03B,18.5M
31,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),60,English,Music Video,0,0,3.99B,22.7M
32,Ed Sheeran - Thinking Out Loud (Official Music Video),53,English,Music Video,0,0,3.99B,15.9M
33,تغطية مباشرة | تابعوا التطورات المتسارعة عبر البث الحي لقناة الجزيرة,68,Arabic,Other,0,0,3.96B,2.41M
34,Alan Walker - Faded,19,English,Ad/Promo,0,0,3.94B,29.9M
35,Bhai behen ka pyar 🤩 behen ne bahar nikal liya #shorts #sister #viral #village #emotional,89,English,Short,1,1,3.91B,27.3M
36,Anaya or Papa Ne ki Masti,25,English,Other,0,0,3.91B,26.7M
37,Join Google One | More storage,30,English,Other,0,0,3.91B,46.5K
38,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video],69,English,Music Video,0,0,3.89B,18.3M
39,The Gummy Bear Song - Long English Version,42,English,Other,0,0,3.87B,9.26M
40,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona",61,English,Music Video,0,0,3.80B,11.8M
41,Taylor Swift - Blank Space,26,English,Other,0,0,3.77B,16.5M
42,009 1001 FriendsForever APAC IND Acq EN DV360 1920x1080 16s Null FB M0 286,74,English,Other,0,0,3.74B,0
43,أغنية هالصيصان شو حلوين 2018,28,Arabic,Other,0,0,3.71B,13.0M
44,Taylor Swift - Shake It Off,27,English,Other,0,0,3.66B,14.1M
45,Paytm IPL 2021 Ad - The Salon (English),39,English,Ad/Promo,0,0,3.66B,58.6K
46,Idina Menzel - Let It Go (From Frozen/Sing-Along),49,English,Other,0,0,3.64B,9.17M
47,"J Balvin, Willy William - Mi Gente (Official Video)",51,English,Music Video,0,0,3.62B,19.0M
48,YouTube: Hit Pause with a power up break,40,English,Other,0,0,3.58B,20.6M
49,Justin Bieber - Baby ft. Ludacris,33,English,Kids/Educational,0,0,3.57B,27.7M
50,UPA CAVALINHO - Galinha Pintadinha 4 - OFICIAL,46,English,Ad/Promo,0,0,3.55B,8.50M
51,YouTube: Hit Pause with a musical dance break,45,English,Other,0,0,3.53B,20.3M
52,Yummy Fruits & Vegetables | D Billions Kids Songs,49,English,Kids/Educational,0,0,3.53B,6.64M
53,Spider man 🕷👶💃,14,English,Other,0,0,3.53B,23.9M
54,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],74,English,Music Video,0,0,3.49B,15.8M
55,YouTube: Hit Pause with a face yoga break,41,English,Fitness,0,0,3.45B,20.3M
56,Main Tota Hindi Rhyme | Children Hindi Rhyme | मैं तोता मैं तोता | Kids Channel India | Hindi Rhyme,99,Hindi,Kids/Educational,0,0,3.44B,10.8M
57,Yes Yes Vegetables Song | @CoComelon Nursery Rhymes & Kids Songs,64,English,Kids/Educational,0,0,3.41B,7.13M
58,The Chainsmokers - Closer (Lyric) ft. Halsey,44,English,Music Video,0,0,3.37B,14.8M
59,009 1225 GetInspiredOnGroups Crafts GLOBAL Acq EN UAC 1920x1080 21s Null FB M0 267,82,English,Other,0,0,3.35B,0
60,Yes Yes Playground Song | @CoComelon Nursery Rhymes & Kids Songs,64,English,Kids/Educational,0,0,3.34B,7.56M
61,على الروضه الحلوه 🤩#shorts,26,Arabic,Short,1,1,3.29B,0
62,Dua Lipa - New Rules (Official Music Video),43,English,Music Video,0,0,3.26B,18.3M
63,Adele - Hello (Official Music Video),36,English,Music Video,0,0,3.25B,19.2M
64,MOWGLI HAI JUNGLE KA RAJA ! | जंगल बुक नया एपिसोड | SEASON 3 = Jungle Book,74,Hindi,Other,0,0,3.23B,0
65,Maa Kitna Khayal Rakhti Hai Giggy Ka 🤗❣️,40,English,Other,0,0,3.21B,25.2M
66,Happy Halloween!!! 🎃,20,English,Other,0,0,3.21B,24.7M
67,ЗА ЧТО ЧАПИТОСИКИ ТАК?🥹🥹,24,Russian,Other,0,0,3.19B,22.5M
68,twenty one pilots: Stressed Out [OFFICIAL VIDEO],48,English,Music Video,0,0,3.19B,20.5M
69,Aaj Tak LIVE TV: Iran War Updates | Donald Trump | LPG Price Hike | PM Modi | Hindi News,88,English,Other,0,0,3.19B,2.56M
70,Bruno Mars - The Lazy Song (Official Music Video),49,English,Music Video,0,0,3.18B,16.4M
71,Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],71,English,Music Video,0,0,3.16B,14.9M
72,Большой против Маленького пранк #shorts от Andi like,53,Russian,Short,1,1,3.16B,22.8M
73,jai veeru ki yaari🤪🤪👭👭 | #shorts #viralshorts #trending #7seven brothers,72,English,Short,1,1,3.15B,23.9M
74,Shakira - Chantaje (Official Video) ft. Maluma,46,English,Music Video,0,0,3.15B,11.5M
75,Plaza Sésamo: Comegalletas ama las galletas | Short,51,English,Other,0,0,3.15B,21.5M
76,Daddy Yankee & Snow - Con Calma (Video Oficial),47,English,Music Video,0,0,3.14B,14.9M
77,"Pedro Capó, Farruko - Calma (Remix - Official Video)",52,English,Music Video,0,0,3.11B,14.1M
78,"Monica Toy | Imitoys - If you can't imitate, just stay home! #MonicaToy #shorts",79,English,Short,1,1,3.10B,30.0M
79,Eminem - Love The Way You Lie ft. Rihanna,41,English,Music Video,0,0,3.10B,15.0M
80,Spider - Man VS T - Rex,23,English,Challenge/Experiment,0,0,3.08B,22.0M
81,009 214 HeartShapedWorld Acq EN UAC 1920x1080 15s V1 FB,55,English,Other,0,0,3.07B,7.56K
